county_name,state_alpha,state_code,county_code,county_sub_code,hud_areaname,fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,GEOID,median_incomeE,median_incomeM,poverty_popE,poverty_popM,total_popE,total_popM,median_rentE,median_rentM
Kitsap County,WA,53,35,99999,"Bremerton-Silverdale, WA MSA",5303599999,1294,1479,1935,2600,3128,METRO14740M14740,53035,98546,2118,22299,1620,268801,411,1741,29
Kittitas County,WA,53,37,99999,"Kittitas County, WA",5303799999,903,1026,1350,1919,2300,NCNTY53037N53037,53037,69928,3828,6130,719,42823,128,1253,60
Klamath County,OR,41,35,99999,"Klamath County, OR",4103599999,676,768,1011,1437,1722,NCNTY41035N41035,41035,59353,3154,12598,1441,68818,274,973,41
Klickitat County,WA,53,39,99999,"Klickitat County, WA",5303999999,936,942,1222,1518,1683,NCNTY53039N53039,53039,70400,6000,3155,645,23035,8,1119,227
Kootenai County,ID,16,55,99999,"Coeur d'Alene, ID MSA",1605599999,894,1075,1311,1863,2233,METRO17660M17660,16055,77034,2380,16237,1719,175419,452,1330,47
Lake County,OR,41,37,99999,"Lake County, OR",4103799999,666,793,896,1273,1526,NCNTY41037N41037,41037,61222,5392,1379,401,7732,96,861,75
Lane County,OR,41,39,99999,"Eugene-Springfield, OR MSA",4103999999,953,1083,1425,2025,2427,METRO21660M21660,41039,69311,1539,57161,2614,374196,487,1287,24
Latah County,ID,16,57,99999,"Latah County, ID",1605799999,644,708,898,1276,1530,NCNTY16057N16057,16057,65179,4252,5439,678,35646,205,905,42
Lemhi County,ID,16,59,99999,"Lemhi County, ID",1605999999,702,707,930,1258,1577,NCNTY16059N16059,16059,52057,4016,947,230,8039,24,721,154
Lewis County,ID,16,61,99999,"Lewis County, ID",1606199999,668,678,877,1246,1487,NCNTY16061N16061,16061,49643,4079,629,115,3616,15,708,55
Lewis County,WA,53,41,99999,"Lewis County, WA",5304199999,802,946,1199,1637,1802,NCNTY53041N53041,53041,69690,3237,10756,948,82815,187,1044,38
Lincoln County,ID,16,63,99999,"Lincoln County, ID",1606399999,681,719,895,1272,1504,NCNTY16063N16063,16063,66038,5408,487,117,5205,16,860,117
Lincoln County,OR,41,41,99999,"Lincoln County, OR",4104199999,838,946,1219,1713,2076,NCNTY41041N41041,41041,61314,2626,7888,886,50126,64,1150,50
Lincoln County,WA,53,43,99999,"Lincoln County, WA",5304399999,729,829,1091,1387,1858,NCNTY53043N53043,53043,71227,3571,1162,338,11160,17,872,92
Linn County,OR,41,43,99999,"Albany, OR MSA",4104399999,948,1062,1342,1836,2146,METRO10540M10540,41043,73396,2930,16414,1387,128257,269,1273,33
Madison County,ID,16,65,99999,"Madison County, ID",1606599999,840,840,970,1379,1652,NCNTY16065N16065,16065,58259,3671,11836,1388,44097,384,965,29
Malheur County,OR,41,45,99999,"Malheur County, OR",4104599999,652,716,942,1302,1605,NCNTY41045N41045,41045,49902,4655,5025,721,28163,188,819,43
Marion County,OR,41,47,99999,"Salem, OR MSA",4104799999,982,1040,1323,1880,2164,METRO41420M41420,41047,74624,1593,44208,2835,336822,584,1333,20
Mason County,WA,53,45,99999,"Mason County, WA",5304599999,831,1101,1243,1767,1780,NCNTY53045N53045,53045,78359,4033,8232,1004,65298,231,1205,79
Minidoka County,ID,16,67,99999,"Minidoka County, ID",1606799999,677,740,890,1265,1509,NCNTY16067N16067,16067,70060,5178,3250,701,21834,38,909,71
Morrow County,OR,41,49,99999,"Morrow County, OR",4104999999,690,784,1032,1420,1584,NCNTY41049N41049,41049,70217,11484,1730,370,12201,42,910,109
Multnomah County,OR,41,51,99999,"Portland-Vancouver-Hillsboro, OR-WA MSA",4105199999,1574,1689,1930,2702,3143,METRO38900M38900,41051,86247,1727,98908,3690,789721,483,1582,15
Nez Perce County,ID,16,69,99999,"Lewiston, ID-WA MSA",1606999999,709,826,1061,1508,1807,METRO30300M30300,16069,71466,3866,5382,826,41063,118,936,79
Okanogan County,WA,53,47,99999,"Okanogan County, WA",5304799999,679,800,1016,1426,1682,NCNTY53047N53047,53047,60293,4441,7827,1043,42271,93,868,29
Oneida County,ID,16,71,99999,"Oneida County, ID",1607199999,738,743,970,1379,1645,NCNTY16071N16071,16071,72563,7865,549,172,4639,3,1009,114
Owyhee County,ID,16,73,99999,"Boise City, ID HUD Metro FMR Area",1607399999,981,1118,1383,1944,2279,METRO14260M14260,16073,59773,4440,1620,386,12121,33,771,91
Pacific County,WA,53,49,99999,"Pacific County, WA",5304999999,731,831,1094,1494,1863,NCNTY53049N53049,53049,62350,5688,2709,331,23434,75,962,56
Payette County,ID,16,75,99999,"Payette County, ID",1607599999,754,759,999,1379,1488,NCNTY16075N16075,16075,65723,4252,2332,627,25864,120,874,89
Pend Oreille County,WA,53,51,99999,"Pend Oreille County, WA",5305199999,750,852,1121,1364,1862,NCNTY53051N53051,53051,63750,10130,1853,327,13623,62,786,66
Pierce County,WA,53,53,99999,"Tacoma, WA HUD Metro FMR Area",5305399999,1267,1411,1773,2520,2956,METRO42660MM8200,53053,96632,1316,80115,3316,903313,851,1722,14
Polk County,OR,41,53,99999,"Salem, OR MSA",4105399999,982,1040,1323,1880,2164,METRO41420M41420,41053,81318,2600,10581,1369,86433,381,1270,48
Power County,ID,16,77,99999,"Power County, ID HUD Metro FMR Area",1607799999,640,727,957,1360,1630,METRO38540M16077,16077,59760,9719,646,290,7946,34,729,34
San Juan County,WA,53,55,99999,"San Juan County, WA",5305599999,1133,1241,1634,2183,2390,NCNTY53055N53055,53055,83682,4942,1892,243,18048,47,1413,104
Sherman County,OR,41,55,99999,"Sherman County, OR",4105599999,748,850,1119,1574,1814,NCNTY41055N41055,41055,59500,6339,341,99,1908,120,945,133
Shoshone County,ID,16,79,99999,"Shoshone County, ID",1607999999,619,718,926,1298,1577,NCNTY16079N16079,16079,49975,3558,2015,370,13352,50,880,67
Skagit County,WA,53,57,99999,"Mount Vernon-Anacortes, WA MSA",5305799999,1007,1189,1506,2140,2485,METRO34580M34580,53057,85474,2182,14887,1564,128609,272,1439,51
Skamania County,WA,53,59,99999,"Portland-Vancouver-Hillsboro, OR-WA MSA",5305999999,1574,1689,1930,2702,3143,METRO38900M38900,53059,90085,4420,1008,197,12177,55,1024,100
Snohomish County,WA,53,61,99999,"Seattle-Bellevue, WA HUD Metro FMR Area",5306199999,2159,2221,2596,3486,4068,METRO42660MM7600,53061,107982,1708,65003,3387,824873,608,1866,18
Spokane County,WA,53,63,99999,"Spokane, WA HUD Metro FMR Area",5306399999,860,980,1269,1803,2105,METRO44060M44060,53063,73513,1384,64956,3183,530313,952,1200,15
Stevens County,WA,53,65,99999,"Stevens County, WA HUD Metro FMR Area",5306599999,666,744,974,1384,1659,METRO44060N53065,53065,67405,3514,6072,876,47013,199,864,58
Teton County,ID,16,81,99999,"Teton County, ID",1608199999,957,962,1154,1640,1966,NCNTY16081N16081,16081,90740,10826,1136,398,12075,23,1196,126
Thurston County,WA,53,67,99999,"Olympia-Tumwater, WA MSA",5306799999,1204,1329,1555,2210,2649,METRO36500M36500,53067,93985,1815,28292,2152,292670,336,1634,28
Tillamook County,OR,41,57,99999,"Tillamook County, OR",4105799999,802,887,1167,1659,1947,NCNTY41057N41057,41057,66551,3767,3197,639,26651,416,1169,55
Twin Falls County,ID,16,83,99999,"Twin Falls County, ID HUD Metro FMR Area",1608399999,723,821,1081,1510,1788,METRO46300N16083,16083,65338,3390,9742,1369,90730,75,1011,44
Umatilla County,OR,41,59,99999,"Umatilla County, OR",4105999999,698,818,1018,1447,1734,NCNTY41059N41059,41059,68958,3985,9606,1238,76258,222,962,32
Union County,OR,41,61,99999,"Union County, OR",4106199999,704,800,1053,1496,1662,NCNTY41061N41061,41061,64212,3369,4065,543,25714,80,982,50
Valley County,ID,16,85,99999,"Valley County, ID",1608599999,747,869,982,1287,1665,NCNTY16085N16085,16085,76125,9127,1702,622,11984,11,1011,167
Wahkiakum County,WA,53,69,99999,"Wahkiakum County, WA",5306999999,669,788,1001,1423,1669,NCNTY53069N53069,53069,57091,6294,714,243,4543,11,1086,170
Walla Walla County,WA,53,71,99999,"Walla Walla, WA MSA",5307199999,896,1018,1340,1882,2096,METRO47460M47460,53071,72212,4129,6738,779,57506,88,1113,77
Wallowa County,OR,41,63,99999,"Wallowa County, OR",4106399999,631,773,944,1342,1608,NCNTY41063N41063,41063,65559,6599,581,142,7445,32,858,76
Wasco County,OR,41,65,99999,"Wasco County, OR",4106599999,1167,1223,1529,2147,2604,NCNTY41065N41065,41065,63602,4399,3160,547,26001,138,978,52
Washington County,ID,16,87,99999,"Washington County, ID",1608799999,731,735,968,1225,1401,NCNTY16087N16087,16087,53608,4217,1640,313,10685,30,919,57
Washington County,OR,41,67,99999,"Portland-Vancouver-Hillsboro, OR-WA MSA",4106799999,1574,1689,1930,2702,3143,METRO38900M38900,41067,104434,1399,47458,2827,594672,518,1773,15
Whatcom County,WA,53,73,99999,"Bellingham, WA MSA",5307399999,1104,1169,1439,2045,2451,METRO13380M13380,53073,80989,2462,28364,2165,223256,361,1465,29
Wheeler County,OR,41,69,99999,"Wheeler County, OR",4106999999,590,671,883,1248,1504,NCNTY41069N41069,41069,51250,7821,142,47,1417,120,782,105
Whitman County,WA,53,75,99999,"Whitman County, WA",5307599999,757,861,1125,1599,1916,NCNTY53075N53075,53075,52893,4525,9743,770,41126,91,1002,35
Yakima County,WA,53,77,99999,"Yakima, WA MSA",5307799999,916,922,1214,1725,1813,METRO49420M49420,53077,68015,2240,39074,2719,253339,343,1068,25
Yamhill County,OR,41,71,99999,"Portland-Vancouver-Hillsboro, OR-WA MSA",4107199999,1574,1689,1930,2702,3143,METRO38900M38900,41071,87084,4086,10684,1105,102776,223,1377,38
